н п.п.;Дата;Номенклатура Товарів Послуг;Одиниця Виміру Товару  Послуги;Кількість об’єм  Обсяг;Сума Без ПДВ;Ціна Без ПДВ
1;2025-02-06;Total unique brands: 3;шт;3;309.93;0
2;2025-02-06;Total unique products: 16;шт;16;917.00;0
3;2025-02-06;Non-lubricant products: 16;шт;16;917.00;0
